"respID","shape","ranges","rLaimNelaim","rCerIzmis","rUztrMier","rBrivIerob","rApmAizkait","rInterGarl","rPatNepat"
"1","36319609","1","50,10,30,10,80,10,50","50","10","30","10","80","10","50"
"2","36319609","2","92,77,2,90,85,91,76","92","77","2","90","85","91","76"
"3","36319609","5","10,23,16,76,22,14,43","10","23","16","76","22","14","43"
"4","36319609","7","52,55,43,8,46,9,43","52","55","43","8","46","9","43"
"5","36319609","9","10,20,50,30,20,10,33","10","20","50","30","20","10","33"
"6","36319609","10","60,90,70,90,50,70,50","60","90","70","90","50","70","50"
"7","36319609","14","26,10,8,42,11,30,20","26","10","8","42","11","30","20"
"8","36319609","16","50,70,0,90,50,50,50","50","70","0","90","50","50","50"
"9","36319851","5","9,3,5,3,5,8,10","9","3","5","3","5","8","10"
"10","36319851","7","100,100,15,100,100,49,100","100","100","15","100","100","49","100"
"11","36319851","9","3,2,100,46,4,2,4","3","2","100","46","4","2","4"
"12","36319851","10","7,7,5,6,8,5,7","7","7","5","6","8","5","7"
"13","36319851","13","8,5,36,16,10,18,14","8","5","36","16","10","18","14"
"14","36319851","14","11,3,3,13,10,9,11","11","3","3","13","10","9","11"
"15","36319851","16","100,100,17,71,59,63,100","100","100","17","71","59","63","100"
"16","36319851","17","13,100,22,45,76,13,100","13","100","22","45","76","13","100"
"17","36321075","2","8,100,7,100,49,100,100","8","100","7","100","49","100","100"
"18","36321075","4","10,12,10,15,6,14,7","10","12","10","15","6","14","7"
"19","36321075","5","8,7,100,100,9,100,100","8","7","100","100","9","100","100"
"20","36321075","8","7,100,98,100,5,100,9","7","100","98","100","5","100","9"
"21","36321075","9","9,6,100,6,7,8,6","9","6","100","6","7","8","6"
"22","36321075","13","31,47,22,100,12,8,51","31","47","22","100","12","8","51"
"23","36321075","14","3,10,92,35,10,7,1","3","10","92","35","10","7","1"
"24","36321075","16","100,96,90,100,9,12,91","100","96","90","100","9","12","91"
"25","36321075","17","100,100,6,100,100,6,100","100","100","6","100","100","6","100"
"26","36321263","1","78,56,65,52,62,58,85","78","56","65","52","62","58","85"
"27","36321263","2","88,76,47,87,78,90,67","88","76","47","87","78","90","67"
"28","36321263","3","5,4,5,7,77,3,83","5","4","5","7","77","3","83"
"29","36321263","5","2,3,7,67,5,5,3","2","3","7","67","5","5","3"
"30","36321263","6","1,3,1,90,1,89,1","1","3","1","90","1","89","1"
"31","36321263","7","54,74,31,57,83,81,90","54","74","31","57","83","81","90"
"32","36321263","13","51,49,50,46,50,50,43","51","49","50","46","50","50","43"
"33","36321263","14","2,2,4,4,3,0,3","2","2","4","4","3","0","3"
"34","36321263","15","73,71,33,75,73,74,79","73","71","33","75","73","74","79"
"35","36321729","4","0,0,11,30,0,40,21","0","0","11","30","0","40","21"
"36","36321729","5","47,0,85,51,50,49,0","47","0","85","51","50","49","0"
"37","36321729","9","15,53,0,0,24,52,37","15","53","0","0","24","52","37"
"38","36321729","13","50,64,50,91,60,39,51","50","64","50","91","60","39","51"
"39","36321729","14","0,50,0,30,0,0,0","0","50","0","30","0","0","0"
"40","36321729","16","82,29,91,13,51,52,51","82","29","91","13","51","52","51"
"41","36321729","17","49,50,0,100,74,0,29","49","50","0","100","74","0","29"
"42","36323264","2","16,14,14,80,17,19,19","16","14","14","80","17","19","19"
"43","36323264","5","5,6,90,9,8,4,7","5","6","90","9","8","4","7"
"44","36323264","6","16,37,82,37,42,86,31","16","37","82","37","42","86","31"
"45","36323264","7","18,13,13,16,13,26,13","18","13","13","16","13","26","13"
"46","36323264","10","18,16,85,82,84,13,25","18","16","85","82","84","13","25"
"47","36323264","13","91,90,10,89,90,8,85","91","90","10","89","90","8","85"
"48","36323264","14","28,49,53,80,78,31,46","28","49","53","80","78","31","46"
"49","36323264","15","83,62,81,81,79,76,81","83","62","81","81","79","76","81"
"50","36323264","16","46,47,73,47,56,47,49","46","47","73","47","56","47","49"
"51","36323264","17","92,77,36,83,82,39,81","92","77","36","83","82","39","81"
"52","36324557","1","50,18,81,96,16,76,35","50","18","81","96","16","76","35"
"53","36324557","3","74,100,14,2,87,55,12","74","100","14","2","87","55","12"
"54","36324557","5","47,3,20,92,0,47,10","47","3","20","92","0","47","10"
"55","36324557","6","9,0,9,44,15,62,0","9","0","9","44","15","62","0"
"56","36324557","8","77,24,76,83,49,8,47","77","24","76","83","49","8","47"
"57","36324557","10","53,47,100,92,16,87,53","53","47","100","92","16","87","53"
"58","36324557","13","49,65,81,100,41,50,94","49","65","81","100","41","50","94"
"59","36324557","17","23,76,10,0,32,22,87","23","76","10","0","32","22","87"
"60","36357326","1","80,50,50,97,100,0,90","80","50","50","97","100","0","90"
"61","36357326","2","91,70,49,100,90,75,100","91","70","49","100","90","75","100"
"62","36357326","3","50,50,0,13,30,25,50","50","50","0","13","30","25","50"
"63","36357326","4","0,0,50,0,0,0,0","0","0","50","0","0","0","0"
"64","36357326","9","0,0,80,20,17,0,0","0","0","80","20","17","0","0"
"65","36357326","11","0,0,100,0,0,0,0","0","0","100","0","0","0","0"
"66","36357326","13","64,90,31,76,91,50,55","64","90","31","76","91","50","55"
"67","36357326","17","50,100,11,22,100,0,69","50","100","11","22","100","0","69"
"68","36388843","1","12,19,15,19,21,11,18","12","19","15","19","21","11","18"
"69","36388843","3","87,87,11,83,86,86,100","87","87","11","83","86","86","100"
"70","36388843","4","10,11,15,12,9,6,13","10","11","15","12","9","6","13"
"71","36388843","5","73,79,77,67,33,47,74","73","79","77","67","33","47","74"
"72","36388843","8","93,76,33,77,56,51,84","93","76","33","77","56","51","84"
"73","36388843","13","50,20,83,72,21,38,25","50","20","83","72","21","38","25"
"74","36419835","1","21,63,24,63,82,19,89","21","63","24","63","82","19","89"
"75","36419835","2","27,83,20,75,85,19,88","27","83","20","75","85","19","88"
"76","36419835","4","26,22,83,27,27,23,32","26","22","83","27","27","23","32"
"77","36419835","5","62,31,13,95,29,29,83","62","31","13","95","29","29","83"
"78","36419835","6","19,17,64,27,22,35,33","19","17","64","27","22","35","33"
"79","36419835","9","13,14,82,33,20,17,20","13","14","82","33","20","17","20"
"80","36419835","10","10,33,87,17,61,87,11","10","33","87","17","61","87","11"
"81","36419835","17","85,87,26,83,90,26,91","85","87","26","83","90","26","91"
"82","36529963","4","92,99,19,92,92,18,15","92","99","19","92","92","18","15"
"83","36529963","5","2,24,26,18,25,21,15","2","24","26","18","25","21","15"
"84","36529963","9","25,9,93,10,9,8,26","25","9","93","10","9","8","26"
"85","36529963","10","51,50,90,65,37,14,49","51","50","90","65","37","14","49"
"86","36529963","13","100,78,78,42,36,24,78","100","78","78","42","36","24","78"
"87","36529963","15","90,97,100,15,15,30,89","90","97","100","15","15","30","89"
"88","36529963","17","95,50,3,76,100,5,100","95","50","3","76","100","5","100"
"89","36538825","5","13,21,54,14,14,9,12","13","21","54","14","14","9","12"
"90","36538825","6","24,23,76,24,14,59,25","24","23","76","24","14","59","25"
"91","36538825","8","58,73,59,86,80,47,68","58","73","59","86","80","47","68"
"92","36538825","9","81,64,67,59,30,67,51","81","64","67","59","30","67","51"
"93","36538825","10","40,48,69,86,19,83,52","40","48","69","86","19","83","52"
"94","36538825","13","52,55,36,84,55,28,56","52","55","36","84","55","28","56"
"95","36538825","14","22,9,9,69,18,12,66","22","9","9","69","18","12","66"
"96","36538825","15","28,26,75,70,23,36,33","28","26","75","70","23","36","33"
"97","36538825","17","33,34,33,77,42,25,21","33","34","33","77","42","25","21"
"98","36566947","1","0,100,0,100,0,0,0","0","100","0","100","0","0","0"
"99","36566947","2","100,100,0,0,100,0,0","100","100","0","0","100","0","0"
"100","36566947","8","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"101","36566947","9","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"102","36566947","10","100,50,50,100,100,100,100","100","50","50","100","100","100","100"
"103","36566947","11","100,100,0,100,100,100,100","100","100","0","100","100","100","100"
"104","36566947","13","100,100,50,100,71,100,0","100","100","50","100","71","100","0"
"105","36566947","14","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"106","36566947","17","10,50,50,20,100,0,0","10","50","50","20","100","0","0"
"107","36567160","1","0,5,97,0,3,76,2","0","5","97","0","3","76","2"
"108","36567160","4","100,99,31,91,100,92,87","100","99","31","91","100","92","87"
"109","36567160","9","8,55,5,6,56,2,56","8","55","5","6","56","2","56"
"110","36567160","11","100,100,0,100,100,55,100","100","100","0","100","100","55","100"
"111","36567160","13","49,72,83,57,18,85,93","49","72","83","57","18","85","93"
"112","36567160","14","23,79,97,4,9,92,53","23","79","97","4","9","92","53"
"113","36567160","16","52,55,70,21,84,19,65","52","55","70","21","84","19","65"
"114","36567160","17","0,0,100,0,0,93,0","0","0","100","0","0","93","0"
"115","36589573","2","67,61,50,90,50,41,100","67","61","50","90","50","41","100"
"116","36589573","3","43,95,7,12,59,13,26","43","95","7","12","59","13","26"
"117","36589573","4","21,2,100,3,1,50,8","21","2","100","3","1","50","8"
"118","36589573","5","13,9,100,39,10,50,34","13","9","100","39","10","50","34"
"119","36589573","8","19,46,15,47,32,5,21","19","46","15","47","32","5","21"
"120","36589573","13","53,67,37,53,43,41,52","53","67","37","53","43","41","52"
"121","36589573","14","5,9,17,16,14,4,34","5","9","17","16","14","4","34"
"122","36589573","15","73,39,57,59,32,64,50","73","39","57","59","32","64","50"
"123","36590214","1","72,72,50,53,89,50,90","72","72","50","53","89","50","90"
"124","36590214","4","8,8,8,8,8,8,8","8","8","8","8","8","8","8"
"125","36590214","5","5,5,92,5,5,5,5","5","5","92","5","5","5","5"
"126","36590214","8","32,21,48,51,19,18,14","32","21","48","51","19","18","14"
"127","36590214","11","12,12,90,12,12,12,12","12","12","90","12","12","12","12"
"128","36590214","17","92,92,50,91,92,50,92","92","92","50","91","92","50","92"
"129","36590442","1","80,80,60,70,90,70,80","80","80","60","70","90","70","80"
"130","36590442","4","10,30,30,50,10,30,25","10","30","30","50","10","30","25"
"131","36590442","5","50,50,70,50,50,50,80","50","50","70","50","50","50","80"
"132","36590442","6","10,10,60,30,20,10,10","10","10","60","30","20","10","10"
"133","36590442","8","40,10,40,20,40,40,40","40","10","40","20","40","40","40"
"134","36590442","10","50,50,100,90,50,100,40","50","50","100","90","50","100","40"
"135","36590442","13","60,50,90,90,60,80,60","60","50","90","90","60","80","60"
"136","36590442","14","10,0,10,50,0,20,5","10","0","10","50","0","20","5"
"137","36590442","15","20,30,20,10,30,30,40","20","30","20","10","30","30","40"
"138","36591510","2","21,26,75,20,18,74,70","21","26","75","20","18","74","70"
"139","36591510","3","36,57,41,38,74,58,76","36","57","41","38","74","58","76"
"140","36591510","4","25,76,34,81,25,27,84","25","76","34","81","25","27","84"
"141","36591510","5","30,9,30,24,26,61,30","30","9","30","24","26","61","30"
"142","36591510","7","86,68,35,66,57,32,56","86","68","35","66","57","32","56"
"143","36591510","8","98,23,22,81,71,28,72","98","23","22","81","71","28","72"
"144","36591510","11","86,69,69,79,16,21,24","86","69","69","79","16","21","24"
"145","36591510","15","81,66,41,72,33,25,33","81","66","41","72","33","25","33"
"146","36591521","4","30,14,27,51,51,19,16","30","14","27","51","51","19","16"
"147","36591521","5","62,70,24,100,69,97,53","62","70","24","100","69","97","53"
"148","36591521","7","71,100,0,0,100,100,61","71","100","0","0","100","100","61"
"149","36591521","9","27,28,77,50,50,62,50","27","28","77","50","50","62","50"
"150","36591521","11","3,0,100,73,0,0,0","3","0","100","73","0","0","0"
"151","36591521","13","0,6,81,0,0,65,29","0","6","81","0","0","65","29"
"152","36591521","15","10,0,69,4,12,8,3","10","0","69","4","12","8","3"
"153","36591521","16","0,5,69,49,0,0,0","0","5","69","49","0","0","0"
"154","36593041","1","100,0,0,100,0,100,100","100","0","0","100","0","100","100"
"155","36593041","5","70,0,100,80,0,100,50","70","0","100","80","0","100","50"
"156","36593041","9","70,50,53,50,71,82,100","70","50","53","50","71","82","100"
"157","36593041","11","0,0,100,0,0,0,0","0","0","100","0","0","0","0"
"158","36593041","13","50,0,100,100,0,100,50","50","0","100","100","0","100","50"
"159","36593041","14","0,0,30,30,0,0,0","0","0","30","30","0","0","0"
"160","36593041","17","40,75,30,0,30,0,0","40","75","30","0","30","0","0"
"161","36593201","1","100,88,17,82,93,50,70","100","88","17","82","93","50","70"
"162","36593201","2","77,60,82,77,85,84,100","77","60","82","77","85","84","100"
"163","36593201","4","5,8,51,4,5,10,5","5","8","51","4","5","10","5"
"164","36593201","6","9,11,100,52,12,47,9","9","11","100","52","12","47","9"
"165","36593201","7","70,62,13,9,68,13,74","70","62","13","9","68","13","74"
"166","36593201","11","9,74,90,67,44,99,10","9","74","90","67","44","99","10"
"167","36593201","14","11,9,8,4,24,28,32","11","9","8","4","24","28","32"
"168","36593201","15","73,52,81,87,44,72,27","73","52","81","87","44","72","27"
"169","36606637","3","50,50,0,100,50,0,50","50","50","0","100","50","0","50"
"170","36606637","5","0,0,0,0,10,10,0","0","0","0","0","10","10","0"
"171","36606637","9","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"172","36606637","10","50,50,50,100,0,100,100","50","50","50","100","0","100","100"
"173","36606637","11","100,100,100,100,1,100,100","100","100","100","100","1","100","100"
"174","36606637","14","0,0,0,0,0,0,0","0","0","0","0","0","0","0"
"175","36606637","15","100,50,50,100,100,50,100","100","50","50","100","100","50","100"
"176","36640279","2","60,56,52,63,72,53,64","60","56","52","63","72","53","64"
"177","36640279","3","71,78,48,88,93,85,65","71","78","48","88","93","85","65"
"178","36640279","5","20,6,31,54,64,34,35","20","6","31","54","64","34","35"
"179","36640279","6","53,31,54,53,20,69,31","53","31","54","53","20","69","31"
