"Num","Name","P1","P2","P3","P4","P5","P6","Total","Rank","Percentile","Prize","Year"
1,"Valdis Kauķis",7,0,0,0,6,7,20,91,78.16%,"Silver medal",1993
2,"Ainārs Galvāns",7,0,1,0,7,5,20,91,78.16%,"Silver medal",1993
3,"Armands Lazdiņš",0,0,0,3,6,2,11,188,54.61%,"Bronze medal",1993
4,"Ģirts Linde",0,7,0,2,1,0,10,199,51.94%,"Honourable mention",1993
5,"Eduards Mihelovičs",0,2,0,1,2,2,7,241,41.75%,"",1993
6,"Ēriks Dobelis",0,0,3,0,0,2,5,284,31.31%,,1993
7,"Ainārs Galvāns",5,1,7,0,7,7,27,114,70.57%,"Bronze medal",1994
8,"Maksims Kravcevs",7,7,0,0,0,7,21,165,57.29%,"Bronze medal",1994
9,"Eduards Mihelovičs",3,4,0,7,7,0,21,165,57.29%,"Bronze medal",1994
10,"Aigars Zaube",0,7,4,3,0,0,14,244,36.72%,"Honourable mention",1994
11,"Gatis Graubiņš",0,1,6,1,0,0,8,318,17.45%,"",1994
12,"Zane Jēkabsone",6,0,0,1,0,0,7,326,15.36%,,1994
13,"Aleksandrs Sļivkins",7,7,3,7,6,0,30,82,80.29%,"Silver medal",1995
14,"Maksims Kravcevs",7,0,5,7,7,1,27,114,72.51%,"Bronze medal",1995
15,"Aigars Zaube",1,0,0,6,7,0,14,245,40.63%,"Honourable mention",1995
16,"Zane Jēkabsone",7,0,0,4,0,0,11,285,30.90%,"Honourable mention",1995
17,"Gustavs Galdiņš",0,0,5,0,3,0,8,316,23.36%,"",1995
18,"Zane Ermuža",1,0,1,4,1,0,7,329,20.19%,,1995
19,"Māris Valdats",2,0,3,7,2,0,14,150,64.78%,"Bronze medal",1996
20,"Zane Ermuža",7,2,1,1,2,0,13,164,61.47%,"Bronze medal",1996
21,"Aleksandrs Sļivkins",2,1,2,0,1,6,12,180,57.68%,"Bronze medal",1996
22,"Ainārs Mitris",2,0,1,0,1,7,11,201,52.72%,"Honourable mention",1996
23,"Vadims Moldavskis",4,0,5,1,1,0,11,201,52.72%,"",1996
24,"Romualds Barkāns",4,0,1,0,0,0,5,290,31.68%,,1996
25,"Māris Valdats",7,7,7,4,7,0,32,50,89.32%,"Silver medal",1997
26,"Zigmārs Rasščevskis",6,7,0,4,7,0,24,110,76.25%,"Bronze medal",1997
27,"Arnolds Ķikusts",1,7,0,7,7,0,22,131,71.68%,"Bronze medal",1997
28,"Juris Kalniņš",4,7,1,7,0,0,19,167,63.83%,"Bronze medal",1997
29,"Krists Krilovs",1,7,0,6,1,0,15,221,52.07%,"Bronze medal",1997
30,"Artis Kuģevics",0,0,7,3,2,0,12,258,44.01%,"Honourable mention",1997
31,"Deniss Čebikins",7,7,1,2,7,0,24,95,77.51%,"Silver medal",1998
32,"Zigmārs Rasščevskis",2,0,2,6,7,1,18,158,62.44%,"Bronze medal",1998
33,"Aleksandra Koroļova",2,7,2,4,0,0,15,183,56.46%,"Bronze medal",1998
34,"Aigars Saušs",2,0,2,3,7,0,14,194,53.83%,"Bronze medal",1998
35,"Juris Kalniņš",0,0,0,0,2,0,2,369,11.96%,"",1998
36,"Jānis Dričs",0,0,1,0,0,0,1,388,7.42%,,1998
37,"Deniss Čebikins",7,5,7,3,7,0,29,33,92.87%,"Gold medal",1999
38,"Zigmārs Rasščevskis",6,7,3,1,6,1,24,56,87.75%,"Silver medal",1999
39,"Igors Gorbovickis",6,1,0,3,0,1,11,227,49.67%,"",1999
40,"Aigars Saušs",2,2,1,1,2,1,9,270,40.09%,"",1999
41,"Aleksandra Koroļova",1,1,0,3,1,1,7,316,29.84%,"",1999
42,"Ilze Dzelme",4,0,0,1,1,0,6,344,23.61%,,1999
43,"Igors Gorbovickis",7,1,1,4,7,0,20,111,76.09%,"Bronze medal",2000
44,"Jānis Dričs",7,1,0,1,6,0,15,161,65.22%,"Bronze medal",2000
45,"Aleksandra Koroļova",7,2,0,4,0,0,13,190,58.91%,"Bronze medal",2000
46,"Aleksandrs Belovs",0,2,2,4,0,0,8,287,37.83%,"",2000
47,"Mārtiņš Dīcis",0,1,0,1,0,0,2,416,9.78%,"",2000
48,"Filips Jelisejevs",0,0,0,2,0,0,2,416,9.78%,,2000
49,"Igors Gorbovickis",7,2,0,7,2,4,22,87,81.78%,"Silver medal",2001
50,"Aigars Gedroics",7,0,0,7,2,0,16,148,68.86%,"Bronze medal",2001
51,"Aleksandrs Belovs",2,0,0,7,2,0,11,228,51.91%,"Bronze medal",2001
52,"Rihards Opmanis",0,0,1,7,1,0,9,262,44.70%,"Honourable mention",2001
53,"Artūrs Verza",0,0,0,7,0,0,7,296,37.50%,"Honourable mention",2001
54,"Inese Segliņa",2,0,1,1,2,0,6,312,34.11%,,2001
55,"Aleksandrs Belovs",7,7,0,7,2,0,23,99,79.50%,"Silver medal",2002
56,"Aigars Gedroics",7,0,0,7,1,0,15,201,58.16%,"Bronze medal",2002
